0.0,75.4,72.0
3162225.4,75.2,71.8
3162229.9,75.5,71.6
3162234.5,75.5,71.8
3162239.0,75.5,71.9
3162243.5,75.5,72.7
3162248.0,75.7,72.0
3162252.6,75.5,72.0
3162257.1,75.7,71.8
3162261.6,75.8,71.6
3162266.1,75.7,71.8
3162270.6,75.5,72.2
3162275.1,75.4,71.9
3162279.6,76.0,71.8
3162284.2,76.0,71.9
3162288.7,75.8,71.6
3162293.2,75.8,71.6
3162298.2,76.1,71.6
3162302.9,75.5,72.0
3162307.6,75.8,71.9
3162312.1,75.8,72.0
3162316.7,76.1,72.0
3162321.2,76.0,71.9
3162325.7,76.0,71.8
3162330.2,75.4,72.0
3162334.7,75.8,72.0
3162339.3,76.1,71.9
3162343.8,75.7,72.5
3162348.3,75.7,72.0
3162352.8,75.8,71.9
3162357.4,75.7,72.0
3162361.9,75.8,72.5
3162366.4,75.7,72.4
3162370.9,75.8,71.9
3162375.4,76.0,72.0
3162379.9,76.1,72.2
3162384.5,76.0,72.5
3162389.0,76.1,72.4
3162393.5,76.1,72.0
3162398.0,76.0,72.8
3162402.6,76.1,72.4
3162407.1,76.1,72.6
3162411.6,76.0,72.4
3162416.1,76.1,72.6
3162420.7,76.1,72.8
3162425.2,76.4,72.8
3162429.7,76.1,72.6
3162434.2,76.1,72.2
3162438.8,76.4,72.8
3162443.3,76.3,72.2
3162447.8,76.5,72.6
3162452.3,76.4,72.6
3162456.8,76.4,72.4
3162461.4,76.1,73.0
3162465.9,76.3,73.0
3162470.4,76.4,72.5
3162474.9,76.1,72.8
3162479.4,75.8,72.8
3162483.9,76.1,72.6
3162488.5,76.0,72.4
3162493.0,75.8,72.5
3162497.5,75.8,72.6
3162502.0,75.8,72.8
3162506.6,75.7,72.2
3162511.1,76.1,72.5
3162515.6,75.5,72.4
3162520.1,75.8,72.8
3162524.6,75.5,72.6
3162529.1,75.8,72.8
3162533.7,76.3,72.5
3162538.2,75.7,73.0
3162542.7,75.8,72.6
3162547.2,76.1,72.8
3162551.8,76.0,72.5
3162556.3,74.9,72.6
3162560.8,75.8,72.8
3162565.3,76.0,72.6
3162569.9,76.0,73.0
3162574.4,76.1,72.6
3162578.9,75.8,72.6
3162583.4,75.7,72.6
3162587.9,76.1,72.8
3162592.4,75.8,72.2
3162597.0,75.5,72.8
3162601.5,75.2,72.6
3162606.0,75.8,72.5
3162610.6,75.7,73.0
3162615.1,76.0,72.5
3162619.6,76.1,72.6
3162624.2,76.1,72.6
3162628.7,75.7,72.6
3162633.2,76.1,72.5
3162637.7,75.8,72.4
3162642.3,76.0,73.0
3162646.8,76.1,72.6
3162651.3,75.8,72.6
3162655.8,76.1,73.0
3162660.3,76.0,72.4
3162664.9,75.8,73.1
3162669.4,75.8,73.0
3162673.9,75.8,72.6
3162678.4,75.8,72.6
3162682.9,76.3,72.6
3162687.4,76.1,72.5
3162692.0,75.7,72.6
3162696.5,76.0,72.5
3162701.0,76.3,72.8
3162705.5,75.8,72.5
3162710.0,76.4,72.5
3162714.6,76.1,72.8
3162719.1,76.1,72.5
3162723.6,76.1,72.2
3162728.1,76.3,72.5
3162732.6,76.4,72.5
3162737.2,76.1,72.6
3162741.7,76.5,72.8
3162746.2,76.3,72.8
3162750.7,76.5,72.4
3162755.2,76.5,72.8
3162759.8,76.5,72.6
3162764.3,76.7,72.6
3162768.8,76.5,72.5
3162773.3,76.1,72.4
3162777.8,76.4,73.0
3162782.4,76.3,73.0
3162786.9,76.3,73.1
3162791.4,76.5,73.0
3162795.9,76.7,72.6
3162800.4,76.7,72.8
3162805.0,76.7,72.6
3162809.5,76.9,72.8
3162814.0,76.9,72.6
3162818.5,76.7,72.8
3162823.0,77.0,72.4
3162827.6,76.7,72.8
3162832.1,76.9,73.0
3162836.6,76.7,73.0
3162841.1,76.5,72.8
3162845.7,76.7,72.6
3162850.2,77.0,73.0
3162854.7,76.9,72.8
3162859.2,77.0,73.0
3162863.7,76.7,73.0
3162868.3,77.1,72.8
3162872.8,77.3,73.0
3162877.3,77.0,73.0
3162881.8,76.7,72.6
3162886.3,76.9,72.8
3162890.9,77.0,72.6
3162895.4,77.0,72.8
3162899.9,77.0,72.6
3162904.4,76.5,72.8
3162908.9,76.7,73.0
3162913.5,77.0,73.0
3162918.0,77.0,72.6
3162922.5,77.3,72.8
3162927.0,76.9,72.8
3162931.6,77.0,73.0
3162936.1,77.5,73.0
3162940.6,77.5,73.3
3162945.1,77.5,73.1
3162949.6,77.1,72.5
3162954.2,77.5,73.0
3162958.7,77.5,73.0
3162963.2,77.5,72.8
3162967.7,77.5,73.0
3162972.3,77.5,73.0
3162976.8,77.5,73.0
3162981.3,77.5,73.1
3162985.8,77.0,72.6
3162990.4,77.1,73.0
3162994.9,77.5,73.1
3162999.4,77.5,72.8
